experiment,f1_mean,f1_std,flip_rate_mean,flip_rate_std,logit_gap_mean,logit_gap_std,fpr_gap_mean,fpr_gap_std
Baseline,0.7911,,0.033,,0.0372,,0.4423,
Strict-Gated,0.789,,0.0132,,0.0239,,0.4701,
